gexiv2 0.16.0-2.1
ghostscript 10.07.0-1.1
ghostty 1.3.1-2.1
ghostty-shell-integration 1.3.1-2.1
ghostty-terminfo 1.3.1-2.1
giflib 6.1.2-1.1
gimagereader-common 3.4.3-1
gimagereader-gtk 3.4.3-1
git 2.53.0-1.1
git-filter-repo 2.47.0-3
gitg 2:44-12
github-cli 2.89.0-1.1
gjs 2:1.88.0-1.1
glances 4.5.3.2-1
glib-networking 1:2.80.1-1.1
glib2 2.88.0-1.1
glib2-devel 2.88.0-1.1
glibc 2.43+r5+g856c426a7534-4
glibmm 2.66.8-1.1
glibmm-2.68 2.88.0-1.1
glslang 1:1.4.341.0-2.1
glu 9.0.3-3.1
glycin 2.1.1-1.1
glycin-gtk4 2.1.1-1.1
gmp 6.3.0-3.1
gnome-autoar 0.4.5-1.1
gnome-backgrounds 50.0-1
gnome-bluetooth-3.0 47.1-3.1
gnome-calculator 50.0-1
gnome-characters 50.0-1.1
gnome-color-manager 3.36.2-1.1
gnome-control-center 50.0-1.1
gnome-desktop 1:44.5-1.1
gnome-desktop-4 1:44.5-1.1
gnome-desktop-common 1:44.5-1.1
gnome-disk-utility 46.1-2.1
gnome-firmware 49.0-1.1
gnome-font-viewer 50.0-1.1
gnome-initial-setup 50.0-1.1
gnome-keybindings 50.0-1.1
gnome-keyring 1:50.0-1.1
gnome-logs 50.0-1.1
gnome-menus 3.38.1-1.1
gnome-nettool 42.0-4.1
gnome-online-accounts 3.58.0-1.1
gnome-power-manager 50.0-1.1
gnome-remote-desktop 50.0-1.1
gnome-session 50.0-1.1
gnome-settings-daemon 50.0-1.1
gnome-shell 1:50.0-1.1
gnome-shell-docs 1:50.0-1.1
gnome-sound-recorder 42.0-5
gnome-text-editor 50.0-1.1
gnome-tour 50.0-1.1
gnome-tweaks 49.0-2
gnome-user-docs 50.0-1
gnome-user-share 48.2-1.1
gnulib-l10n 20241231-1
gnupg 2.4.9-1.1
gnutls 3.8.12-2
gobject-introspection-runtime 1.86.0-2.1
gom 0.5.6-1.1
google-chrome 147.0.7727.55-1
gperftools 2.18.1-1.1
gpgme 2.0.1-3.1
gpgmepp 2.0.0-2.1
gpm 1.20.7.r38.ge82d1a6-6.1
graphene 1.10.8-2.1
graphicsmagick 1.3.46-1.1
graphite 1:1.3.14-6
grep 3.12-2.1
grilo 0.3.19-2.1
grilo-plugins 1:0.3.18-3.1
groff 1.24.1-1.1
gsettings-desktop-schemas 50.0-1
gsettings-system-schemas 50.0-1
gsm 1.0.24-1.1
gsound 1.0.3-4.1
gspell 1.14.3-1.1
gssdp 1.6.4-1.1
gssproxy 0.9.2-3.1
gst-devtools-libs 1.28.2-1
gst-editing-services 1.28.2-1
gst-libav 1.28.2-1
gst-plugin-gtk4 0.15.1-1
gst-plugin-pipewire 1:1.6.2-1.1
gst-plugin-va 1.28.2-1
gst-plugins-bad 1.28.2-1
gst-plugins-bad-libs 1.28.2-1
gst-plugins-base 1.28.2-1
gst-plugins-base-libs 1.28.2-1
gst-plugins-good 1.28.2-1
gst-plugins-ugly 1.28.2-1
gst-python 1.28.2-1
gst-thumbnailers 1.0.0-1.1
gstreamer 1.28.2-1
gstreamer-docs 1.28.2-1
gtest 1.17.0-2.1
gtk-update-icon-cache 1:4.22.2-1.1
gtk3 1:3.24.52-1.1
gtk4 1:4.22.2-1.1
gtk4-layer-shell 1.3.0-1.1
gtkmm-4.0 4.22.0-1.1
gtkmm3 3.24.10-1.2
gtksourceview4 4.8.4-2.1
gtksourceview5 5.20.0-1.1
gtksourceviewmm 1:3.91.1-2.1
gtkspell3 3.0.10-3.4
gtkspellmm 3.0.5-5.4
gufw 26.04-2
guile 3.0.11-1.1
gupnp 1:1.6.9-1.1
gupnp-av 0.14.4-1.1
gupnp-dlna 0.12.0-4.1
gupnp-igd 1.6.0-2.1
gvfs 1.60.0-2
gvfs-afc 1.60.0-2
gvfs-dnssd 1.60.0-2
gvfs-goa 1.60.0-2
gvfs-gphoto2 1.60.0-2
gvfs-mtp 1.60.0-2
gvfs-nfs 1.60.0-2
gvfs-onedrive 1.60.0-2
gvfs-smb 1.60.0-2
gvfs-wsdd 1.60.0-2
gweather-locations 2026.2-1.1
gzip 1.14-2
harfbuzz 14.0.0-2.1
harfbuzz-icu 14.0.0-2.1
hdparm 9.65-3.1
helium-browser-bin 0.10.9.1-1
hicolor-icon-theme 0.18-1
hidapi 0.15.0-1.1
highway 1.3.0-2.1
hub 2.14.2-4
hwdata 0.406-1
hwdetect 2025.08.16.1333-1
hwinfo 25.2-1.1
hyphen 2.8.8-6.2
hyprcursor 0.1.13-5.1
hyprgraphics 0.5.1-1.1
hyprland 0.54.3-2.1
hyprland-guiutils 0.2.1-3.1
hyprlang 0.6.8-3.1
hyprlauncher 0.1.5-3.1
hyprtoolkit 0.5.3-2.1
hyprutils 0.12.0-1.1
hyprwayland-scanner 0.4.5-1.1
hyprwire 0.3.0-2.1
iana-etc 20260328-1
ibus 1.5.33-3.1
icu 78.3-1.1
iio-sensor-proxy 3.9-1.1
ijs 0.35-7.1
imagemagick 7.1.2.18-2.1
imath 3.2.2-4.1
imlib2 1.12.6-1.1
inetutils 2.7-2.1
iniparser 4.2.6-2.1
inxi 3.3.40.1-1
iproute2 6.19.0-2.1
iptables 1:1.8.12-1.1
iputils 20250605-1.1
iso-codes 4.20.1-1
iw 6.17-1.1
iwd 3.12-1.1
jack 0.126.0-6
jansson 2.15.0-1.1
jasper 4.2.9-1.1
jbig2dec 0.20-1.1
jbigkit 2.1-8.1
jemalloc 1:5.3.0-7.1
jfsutils 1.1.15-9.1
jpegoptim 1.5.6-1.1
jq 1.8.1-1.1
js140 140.9.1-1.1
json-c 0.18-2.1
json-glib 1.10.8-1.1
kbd 2.9.0-1.1
keyutils 1.6.3-3.1
kmod 34.2-1
krb5 1.21.3-2.1
l-smash 2.14.5-4.1
lame 3.101.r6531-1.1
lazydocker 0.25.0-1.1
lazygit 0.61.0-1.1
lcms2 2.18-1.1
ldb 2:4.24.0-1.1
leancrypto 1.7.1-1
leptonica 1.87.0-1.1
less 1:692-1.1
lib32-brotli 1.1.0-1
lib32-bzip2 1.0.8-4
lib32-clang 22.1.3-1
lib32-curl 8.19.0-1
lib32-e2fsprogs 1.47.4-1
lib32-expat 2.7.5-1
lib32-gcc-libs 15.2.1+r604+g0b99615a8aef-2
lib32-glibc 2.43+r5+g856c426a7534-4
lib32-gmp 6.3.0-2
lib32-gnutls 3.8.12-1
lib32-icu 78.3-1
lib32-json-c 0.18-2
lib32-keyutils 1.6.3-2
lib32-krb5 1.21.3-1
lib32-libdisplay-info 0.3.0-1
lib32-libdrm 2.4.131-1
lib32-libelf 0.194-1
lib32-libffi 3.5.2-1
lib32-libgcrypt 1.12.1-1
lib32-libglvnd 1.7.0-1
lib32-libgpg-error 1.59-1
lib32-libidn2 2.3.8-1
lib32-libldap 2.6.13-1
lib32-libnghttp2 1.68.1-1
lib32-libnghttp3 1.15.0-1
lib32-libngtcp2 1.22.0-1
lib32-libpciaccess 0.19-1
lib32-libpsl 0.21.5-1
lib32-libssh2 1.11.1-1
lib32-libtasn1 4.21.0-1
lib32-libunistring 1.3-1
lib32-libx11 1.8.13-1
lib32-libxau 1.0.12-1
lib32-libxcb 1.17.0-1
lib32-libxcrypt 4.5.2-1
lib32-libxdmcp 1.1.5-1
lib32-libxext 1.3.7-1
lib32-libxml2 2.15.2-1
lib32-libxshmfence 1.3.3-1
lib32-libxxf86vm 1.1.5-2
lib32-llvm-libs 1:22.1.3-1
lib32-lm_sensors 1:3.6.2-2
lib32-mesa 2:26.0.4-2
lib32-ncurses 6.6-2
lib32-nettle 3.10.2-1
lib32-opencl-mesa 2:26.0.4-2
lib32-openssl 1:3.6.2-1
lib32-p11-kit 0.26.2-1
lib32-spirv-llvm-translator 22.1.1-1
lib32-spirv-tools 1:1.4.341.0-1
lib32-systemd 260.1-1
lib32-vulkan-icd-loader 1.4.341.0-1
lib32-vulkan-mesa-implicit-layers 2:26.0.4-2
lib32-vulkan-radeon 2:26.0.4-2
lib32-wayland 1.24.0-1
lib32-xcb-util-keysyms 0.4.1-2
lib32-xz 5.8.3-1
lib32-zlib-ng 2.3.3-2
lib32-zlib-ng-compat 2.3.3-2
lib32-zstd 1.5.7-2
libadwaita 1:1.9.0-1.1
libaio 0.3.113-3.1
libarchive 3.8.6-1.1
libasan 15.2.1+r604+g0b99615a8aef-2
